Тикер Акции,"Цена акции 
на дату входа",Группа акции,Дата экспирации опциона,Страйк,Цена покупки опциона,Дата входа,прогноз P&L на 05.02.2026,"Цена акции 
на 05.02.2026",факт P&L на 05.02.2026,прогноз P&L на 10.02.2026,"Цена акции 
на 10.02.2026",факт P&L на 10.02.2026
AAPL,"261,9",Рост/События,15.05.2026,310,"2,54",27.01.2026,196,274,158,263,"274,62",54
ADBE,"295,4",Tech Growth,15.05.2026,350,"8,36",27.01.2026,-515,279,-224,-445,"266,9",-522
AI,"12,46",Неликвидные,17.07.2026,"12,5","2,80",29.01.2026,-111,"11,07",-118,-47,"11,64",-82
BULL,"7,38",Неликвидные,15.05.2026,"7,5","1,13",29.01.2026,-52,"6,7",-42,-33,"6,79",-38
CHTR,"186,44",Рост/События,15.05.2026,220,"11,60",28.01.2026,1518,"224,18",1445,2665,"238,25",2219
DAVE,"173,05",Неликвидные,17.07.2026,185,"36,00",29.01.2026,-674,"163,08",-854,979,"185,23",371
DOCS,"39,09",Рост/События,15.05.2026,45,"3,20",28.01.2026,-241,"35,25",-82,-143,"27,5",-292
DUOL,"145,13",Рост/События,15.05.2026,170,"19,20",27.01.2026,-1623,"117,08",-938,-543,"118,91",-936
FDS,"250,15",Неликвидные,18.06.2026,260,"24,00",29.01.2026,-1593,"225,43",-1431,-1769,"203,22",-2039
FIS (put),"57,71",Рост/События,13.02.2026,65,"10,20",29.01.2026,269,"51,57",324,400,"50,59",411
FIS (call),"57,71",Рост/События,18.06.2026,65,"3,00",28.01.2026,-304,"51,57",-176,-110,"50,59",-201
INTU,506,Tech Growth,18.06.2026,540,"41,10",29.01.2026,-3584,"442,94",-2004,-2218,"437,5",-2513
IT,"215,88",Tech Growth,18.06.2026,220,"26,30",29.01.2026,-3083,"157,83",-2325,-1772,"159,75",-2313
MSTR,"142,78",Tech Growth,15.05.2026,150,"21,10",29.01.2026,-1197,"125,6",-618,-217,"138,44",-482
NTNX,"39,42",Tech Growth,18.06.2026,40,"5,70",29.01.2026,-4,"39,3",6,133,"41,59",135
PINS,"23,21",Рост/События,15.05.2026,28,"1,66",28.01.2026,-284,"20,03",-108,-48,"20,57",-104
PYPL,"53,04",Рост/События,18.09.2026,55,"6,45",29.01.2026,-711,41,-474,-216,"42,05",-104
RBLX,"66,1",Рост/События,18.06.2026,70,"10,50",30.01.2026,-199,"63,66",-122,458,"73,6",368
TRI,"119,23",Стабильные,17.07.2026,140,"3,20",27.01.2026,-423,"93,56",-244,-306,"92,31",-262
TTD,"30,53",Рост/События,18.06.2026,"32,5","4,50",30.01.2026,-226,"27,37",-141,-70,"27,89",-118